File;Sensitivity;Specificity;Accuracy;TP;FP;TN;FN
01_test.tif;0.7859375;0.9762578197790497;0.9592768820463087;23138;7135;293385;6302
08_test.tif;0.47444432702807426;0.9963955420116656;0.951488059158686;13469;1087;300484;14920
20_test.tif;0.43890377086338345;0.997468064574167;0.9563916838404655;10650;774;304921;13615
19_test.tif;0.8305140477147346;0.9833272194296554;0.9706509879985453;22732;5045;297544;4639
12_test.tif;0.5101088101088102;0.9962948220386771;0.9543156746272276;14533;1117;300353;13957
14_test.tif;0.7618922667466357;0.970885278766037;0.9539883622257244;20325;8830;294453;6352
11_test.tif;0.4674498121128;0.9981259632315983;0.950618256758395;13808;563;299858;15731
09_test.tif;0.3354399611084103;0.9994624347418862;0.945647957328161;8970;163;303056;17771
10_test.tif;0.6910075121520106;0.9843991492846857;0.9602527579100497;18765;4724;298080;8391
03_test.tif;0.6432675645274071;0.9829466080042549;0.9490847375439447;21159;5066;292001;11734
16_test.tif;0.7459299788526736;0.9814071406441038;0.9601466844465996;22222;5581;294588;7569
04_test.tif;0.5076760888186072;0.9983745318852092;0.9532337253000364;15410;487;299119;14944
15_test.tif;0.7232150419242822;0.980283731467034;0.9618862892471814;17078;6040;300306;6536
13_test.tif;0.45103691992932204;0.9982935898770915;0.9447902776094071;14550;508;297193;17709
02_test.tif;0.7749038176975437;0.9756288618023432;0.9550733422232998;26184;7218;288952;7606
17_test.tif;0.5002513284503806;0.9964184993446052;0.9545369135652806;13933;1082;301026;13919
06_test.tif;0.5080956532569436;0.9969245645371403;0.9493453751969936;16318;916;296928;15798
07_test.tif;0.5852679755903423;0.9923717846088163;0.9551703236755971;17647;2287;297521;12505
18_test.tif;0.3925566095471236;0.9977453458672354;0.9497939144138684;10263;685;303131;15881
05_test.tif;0.5899974120082816;0.9947734143013831;0.9568523457388775;18238;1563;297485;12674
